MSA_FIPS,MSA,MSA_Short_Name,County_FIPS,County,Population,Hospitals,Beds
27140,"Jackson, MS","Jackson, MS",28163,"Yazoo, MS",29690,1,25
41140,"St. Joseph, MO-KS","St. Joseph, MO-KS",29003,"Andrew, MO",17712,0,0
28140,"Kansas City, MO-KS",Kansas City,29013,"Bates, MO",16172,1,60
16020,"Cape Girardeau, MO-IL","Cape Girardeau, MO-IL",29017,"Bollinger, MO",12133,0,0
17860,"Columbia, MO","Columbia, MO",29019,"Boone, MO",180463,6,774
41140,"St. Joseph, MO-KS","St. Joseph, MO-KS",29021,"Buchanan, MO",87364,3,470
28140,"Kansas City, MO-KS",Kansas City,29025,"Caldwell, MO",9020,0,0
27620,"Jefferson City, MO","Jefferson City, MO",29027,"Callaway, MO",44743,2,114
16020,"Cape Girardeau, MO-IL","Cape Girardeau, MO-IL",29031,"Cape Girardeau, MO",78871,3,601
28140,"Kansas City, MO-KS",Kansas City,29037,"Cass, MO",105780,2,106
44180,"Springfield, MO","Springfield, MO",29043,"Christian, MO",88595,0,0
28140,"Kansas City, MO-KS",Kansas City,29047,"Clay, MO",249948,6,905
28140,"Kansas City, MO-KS",Kansas City,29049,"Clinton, MO",20387,1,58
27620,"Jefferson City, MO","Jefferson City, MO",29051,"Cole, MO",76745,3,402
17860,"Columbia, MO","Columbia, MO",29053,"Cooper, MO",17709,1,70
44180,"Springfield, MO","Springfield, MO",29059,"Dallas, MO",16878,0,0
41140,"St. Joseph, MO-KS","St. Joseph, MO-KS",29063,"DeKalb, MO",12547,0,0
41180,"St. Louis, MO-IL",St. Louis,29071,"Franklin, MO",103967,1,148
44180,"Springfield, MO","Springfield, MO",29077,"Greene, MO",293086,9,1402
17860,"Columbia, MO","Columbia, MO",29089,"Howard, MO",10001,0,0
28140,"Kansas City, MO-KS",Kansas City,29095,"Jackson, MO",703011,19,4178
27900,"Joplin, MO","Joplin, MO",29097,"Jasper, MO",121328,2,366
41180,"St. Louis, MO-IL",St. Louis,29099,"Jefferson, MO",225081,1,251
28140,"Kansas City, MO-KS",Kansas City,29107,"Lafayette, MO",32708,1,32
41180,"St. Louis, MO-IL",St. Louis,29113,"Lincoln, MO",59013,1,25
27620,"Jefferson City, MO","Jefferson City, MO",29135,"Moniteau, MO",16132,0,0
27900,"Joplin, MO","Joplin, MO",29145,"Newton, MO",58236,5,463
27620,"Jefferson City, MO","Jefferson City, MO",29151,"Osage, MO",13615,0,0
28140,"Kansas City, MO-KS",Kansas City,29165,"Platte, MO",104418,1,97
44180,"Springfield, MO","Springfield, MO",29167,"Polk, MO",32149,1,86
28140,"Kansas City, MO-KS",Kansas City,29177,"Ray, MO",23018,1,34
41180,"St. Louis, MO-IL",St. Louis,29183,"St. Charles, MO",402022,7,852
41180,"St. Louis, MO-IL",St. Louis,29189,"St. Louis, MO",994205,22,5082
41180,"St. Louis, MO-IL",St. Louis,29219,"Warren, MO",35649,0,0
44180,"Springfield, MO","Springfield, MO",29225,"Webster, MO",39592,0,0
41180,"St. Louis, MO-IL",St. Louis,29510,"St. Louis (Independent City), MO",300576,15,4555
13740,"Billings, MT","Billings, MT",30009,"Carbon, MT",10725,1,10
24500,"Great Falls, MT","Great Falls, MT",30013,"Cascade, MT",81366,3,436
33540,"Missoula, MT","Missoula, MT",30063,"Missoula, MT",119600,2,404
13740,"Billings, MT","Billings, MT",30095,"Stillwater, MT",9642,1,23
13740,"Billings, MT","Billings, MT",30111,"Yellowstone, MT",161300,3,630
36540,"Omaha-Council Bluffs, NE-IA",Omaha,31025,"Cass, NE",26248,0,0
43580,"Sioux City, IA-NE-SD","Sioux City, IA-NE-SD",31043,"Dakota, NE",20026,0,0
43580,"Sioux City, IA-NE-SD","Sioux City, IA-NE-SD",31051,"Dixon, NE",5636,0,0
36540,"Omaha-Council Bluffs, NE-IA",Omaha,31055,"Douglas, NE",571327,18,3145
24260,"Grand Island, NE","Grand Island, NE",31079,"Hall, NE",61353,2,236
24260,"Grand Island, NE","Grand Island, NE",31093,"Howard, NE",6445,1,25
30700,"Lincoln, NE","Lincoln, NE",31109,"Lancaster, NE",319090,8,1354
24260,"Grand Island, NE","Grand Island, NE",31121,"Merrick, NE",7755,1,20
